# File: data/simulation/Pulse_template_nectarCam_17042020-noshift.dat
# Provinance: CTAO prod-5 simulations model (retrieved 2025-12-25)
# - GIT: gitlab.cta-observatory.org:cta-science/simulations/simulation-model/simulation-models
#   -> simulation-models/model_parameters/Files/Pulse_template_nectarCam_17042020-noshift.dat
# Copyright notice: Copyright (c) 2025, CTAO & simtools developers
# License: BSD 3-Clause License (simulation-models/LICENSE)
# Comment: Nectarcam impulse response in units of ADC counts in the HG or LG channels
#
# NectarCam single-p.e. pulse shape (HG and LG).
# Table provided by Thomas Armstrong 2020-04-17.
# Peak position is about 25 ns earlier than in previous pulse shapes.
#
# SJF 2026-01-07: modified to add third digit to time column to allow 1/8 ns time
# resolution be correctly represented
$
# T     HG      LG
#[ns]   [adc.]  [adc.]
#
0.000 0.000000 0.000000
0.125 0.000000 0.000000
0.250 0.000000 0.000000
0.375 0.000000 0.000000
0.500 0.000000 0.000000
0.625 0.000000 0.000000
0.750 0.000000 0.000000
0.875 0.000000 0.000000
1.000 0.013230 0.000945
1.125 0.016520 0.001180
1.250 0.020660 0.001476
1.375 0.025830 0.001845
1.500 0.032290 0.002306
1.625 0.040350 0.002882
1.750 0.050440 0.003603
1.875 0.063050 0.004504
2.000 0.078810 0.005630
2.125 0.098520 0.007037
2.250 0.123150 0.008797
2.375 0.153940 0.010996
2.500 0.192430 0.013745
2.625 0.240530 0.017181
2.750 0.300670 0.021476
2.875 0.375830 0.026845
3.000 0.469790 0.033557
3.125 0.587240 0.041945
3.250 0.734050 0.052432
3.375 0.917560 0.065540
3.500 1.146960 0.081925
3.625 1.562460 0.111604
3.750 2.061740 0.147267
3.875 2.645900 0.188993
4.000 3.322300 0.237307
4.125 4.103120 0.293080
4.250 4.994780 0.356770
4.375 5.979200 0.427085
4.500 7.061800 0.504415
4.625 8.235720 0.588266
4.750 9.480510 0.677179
4.875 10.785610 0.770401
5.000 12.119380 0.865670
5.125 13.450570 0.960755
5.250 14.745530 1.053252
5.375 15.964430 1.140316
5.500 17.066120 1.219009
5.625 18.010850 1.286489
5.750 18.763150 1.340225
5.875 19.282280 1.377306
6.000 19.556730 1.396909
6.125 19.551740 1.396553
6.250 19.250850 1.375061
6.375 18.695810 1.335415
6.500 17.881680 1.277263
6.625 16.825150 1.201797
6.750 15.569370 1.112098
6.875 14.147720 1.010552
7.000 12.606180 0.900441
7.125 10.994830 0.785345
7.250 9.368710 0.669194
7.375 7.789400 0.556386
7.500 6.307340 0.450524
7.625 4.963130 0.354510
7.750 3.790540 0.270753
7.875 2.819000 0.201357
8.000 2.065470 0.147534
8.125 1.552980 0.110927
8.250 1.283870 0.091705
8.375 1.202130 0.085866
8.500 1.297570 0.092684
8.625 1.551080 0.110791
8.750 1.910180 0.136441
8.875 2.345240 0.167517
9.000 2.808980 0.200642
9.125 3.261910 0.232993
9.250 3.672100 0.262293
9.375 4.016800 0.286914
9.500 4.267950 0.304853
9.625 4.403300 0.314522
9.750 4.426750 0.316196
9.875 4.337940 0.309853
10.000 4.147380 0.296242
10.125 3.851110 0.275079
10.250 3.457090 0.246935
10.375 3.010830 0.215059
10.500 2.531290 0.180806
10.625 2.039170 0.145655
10.750 1.561660 0.111547
10.875 1.111810 0.079415
11.000 0.706950 0.050497
11.125 0.372500 0.026607
11.250 0.123350 0.008811
11.375 -0.056050 -0.004003
11.500 -0.157460 -0.011247
11.625 -0.180920 -0.012923
11.750 -0.146610 -0.010472
11.875 -0.062380 -0.004456
12.000 0.059640 0.004260
12.125 0.208070 0.014862
12.250 0.365870 0.026133
12.375 0.515080 0.036792
12.500 0.645580 0.046113
12.625 0.749680 0.053549
12.750 0.822050 0.058718
12.875 0.855610 0.061115
13.000 0.844520 0.060323
13.125 0.787290 0.056235
13.250 0.687410 0.049101
13.375 0.561360 0.040097
13.500 0.406030 0.029002
13.625 0.223010 0.015929
13.750 0.035080 0.002506
13.875 -0.142810 -0.010201
14.000 -0.299910 -0.021422
14.125 -0.429860 -0.030704
14.250 -0.532210 -0.038015
14.375 -0.606670 -0.043333
14.500 -0.647260 -0.046233
14.625 -0.650420 -0.046459
14.750 -0.622460 -0.044461
14.875 -0.573350 -0.040953
15.000 -0.508040 -0.036289
15.125 -0.429580 -0.030684
15.250 -0.335050 -0.023932
15.375 -0.232750 -0.016625
15.500 -0.126760 -0.009054
15.625 -0.021700 -0.001550
15.750 0.066480 0.004749
15.875 0.140310 0.010022
16.000 0.190790 0.013628
16.125 0.213560 0.015254
16.250 0.209740 0.014981
16.375 0.176940 0.012638
16.500 0.119960 0.008568
