# File: data/simulation/atmprof_ecmwf_south_winter_fixed.dat
# Provinance: CTAO prod-5 simulations model (retrieved 2025-12-25)
# - GIT: gitlab.cta-observatory.org:cta-science/simulations/simulation-model/simulation-models
#   -> simulation-models/model_parameters/Files/atmprof_ecmwf_south_winter_fixed.dat
# Copyright notice: Copyright (c) 2025, CTAO & simtools developers
# License: BSD 3-Clause License (simulation-models/LICENSE)
# Comment: default atmospheric density profile for CTAO-South
#
# ----------------------------------------------------------------------------------------
#
# New profile generated with the following command:
#    ./check_atmprof cfg/CTA/atmprof_ecmwf_south_winter_nexp.dat = 2.150 -24.683429 51 atmprof_ecmwf_south_winter_fixed.dat
#
# Primary profile: cfg/CTA/atmprof_ecmwf_south_winter_nexp.dat
# Secondary profile: cfg/CTA/atmprof_ecmwf_south_winter_nexp.dat
# Observation level (not part of profile): 2.150 km a.s.l.
# Geographic latitude: -24.683429 deg (for gravity).
# Switch-over from primary to secondary above 51.000 km a.s.l.
#
# ----------------------------------------------------------------------------------------
#
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.18699e-03  1.03754e+03   2.74714e-04   296.41   1.01468e+03  1.34098e-02
    1.000     1.07756e-03  9.24333e+02   2.49149e-04   290.85   9.02398e+02  9.10193e-03
    2.000     9.70186e-04  8.22018e+02   2.24083e-04   287.70   8.02240e+02  4.35559e-03
    3.000     8.77072e-04  7.29769e+02   2.02469e-04   282.71   7.12068e+02  2.04701e-03
    4.000     7.93791e-04  6.46292e+02   1.83215e-04   276.65   6.30472e+02  1.38432e-03
    5.000     7.18080e-04  5.70757e+02   1.65729e-04   270.05   5.56659e+02  1.09667e-03
    6.000     6.48844e-04  5.02461e+02   1.49739e-04   263.08   4.89948e+02  8.18181e-04
    7.000     5.85278e-04  4.40799e+02   1.35062e-04   255.83   4.29732e+02  5.99704e-04
    8.000     5.26715e-04  3.85239e+02   1.21542e-04   248.41   3.75497e+02  4.42774e-04
    9.000     4.72504e-04  3.35311e+02   1.09030e-04   240.99   3.26770e+02  3.24210e-04
   10.000     4.22121e-04  2.90611e+02   9.74023e-05   233.76   2.83167e+02  2.30824e-04
   11.000     3.75369e-04  2.50766e+02   8.66137e-05   226.81   2.44306e+02  1.50212e-04
   12.000     3.31981e-04  2.15425e+02   7.66020e-05   220.28   2.09851e+02  8.50110e-05
   13.000     2.91583e-04  1.84269e+02   6.72812e-05   214.52   1.79492e+02  4.33482e-05
   14.000     2.53862e-04  1.57021e+02   5.85785e-05   209.92   1.52925e+02  2.24241e-05
   15.000     2.19443e-04  1.33387e+02   5.06375e-05   206.25   1.29883e+02  1.31594e-05
   16.000     1.88802e-04  1.13003e+02   4.35681e-05   203.08   1.10031e+02  1.01182e-05
   17.000     1.60996e-04  9.55337e+01   3.71527e-05   201.36   9.30356e+01  9.28429e-06
   18.000     1.35710e-04  8.07217e+01   3.13184e-05   201.82   7.86058e+01  9.17881e-06
   19.000     1.13534e-04  6.82873e+01   2.62017e-05   204.06   6.64930e+01  9.54562e-06
   20.000     9.47734e-05  5.79008e+01   2.18726e-05   207.35   5.64028e+01  9.61523e-06
   21.000     7.93632e-05  4.92203e+01   1.83165e-05   210.56   4.79618e+01  7.79513e-06
